이슈,원인,원인 소분류,원인 대분류,조치결과,조치결과상세,로봇분류
리부팅후 움직이지 않음,비고장,설치 / 로봇 내부 설정,고객환경(변화),자연회복(자연회복),일시정지,베어 서빙로봇
마이크/스피커 불량,마이크/스피커 불량,HW / 마이크/스피커,로봇문제(HW),로봇교체(HW),특수수요 긴급AS 교체작업,베어 서빙로봇
마커 및 운행구간 장비설치로 설치변경,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),측정장비설치로 로봇동선환경변화 맵수정,LG 서빙로봇 판매
마커 및 운행구간 장비설치로 설치변경,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",측정장비 설치로 인해 로봇동선 맵수정,LG 서빙로봇 판매
마커 위치 변경 및 테이블 추가 요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),양호,LG 서비스로봇2 임대형
마커 위치변경,기타,SW / 자율주행,로봇문제(SW),기타(외부시스템),마커 위치변경 및 재설정,LG 서빙로봇 판매
매장 리뉴얼,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),고객사 리뉴얼 재맵핑,베어 서빙로봇
매장 리뉴얼 재맵핑,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),재맵핑,LG 서빙로봇 판매
매장 리뉴얼 재오픈,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",맵 수정,베어 서빙로봇
매장 리뉴얼로 재 매핑 요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),매장 리뉴얼 재매핑,베어 서빙로봇
매장 추가 인테리어로 재매핑 재설정,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),매장 추가 인테리어로 전체 재매핑,베어 서비스로봇2 임대형
매장 확장으로 재맵핑,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",매장확장으로 재맵핑,LG 서빙로봇 판매
매장내 리뉴얼인한 재설정 요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),매장 리뉴얼로 인한 재설정,베어 서빙로봇
매장내 집기변경으로 대기위치 수정요청,로봇 설정 미흡,설치 / 로봇 내부 설정,고객환경(변화),대기시간 조정(설정),대기위치수정 목적지변경,LG 서빙로봇 판매
매장내 테이블 전체교체로 맵수정,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),테이블 전체교체로 매수정,LG 서빙로봇 판매
매장내 퇴식대기 위치 조정,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),퇴식대기 장소 추가,베어 서빙로봇
매장내 wifi 음영지역 해소로 로봇 주행 품질향상 요청,무선품질 불량,와이파이 / 공유기,무선품질문제,공유기 환경 설정 개선(WiFi),컨트로로 공유기 신규설치 및 wifi 커버리지 확대,LG서빙로봇(POC)
매장내위치변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",매장테이블위치변경,LG서빙로봇(POC)
매장변경,매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),기타(외부시스템),매장변경에따른 맵변경,베어 서빙로봇
매장인테리어변경으로 재개통,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",매장인테리어 변경 재맵핑,LG 서빙로봇 판매
매장입구 구조물변경 로봇 동ㅁ번변경요청,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",로봇  위치 재설정,베어 서빙로봇
매장전체 위치변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",매장내 전체테이블 위치변경,베어 서빙로봇
맵 재작성,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),맵재작성,
맵 제설치 요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),,베어 서빙로봇
맵변경 요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",층이동(3층-->4층),베어 서빙로봇
맵설정,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),맵작성,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
맵설정중 or  주행중 안녕하세요화면으로 전환됨 일정시간 후 화면 자동복구됨,3D 카메라(전면) 불량,HW / 3D 카메라(전면),로봇문제(HW),로봇교체(HW),,베어 서빙로봇
맵수정요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),,베어 서빙로봇
맵수정요청,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
맵수정요청,비고장,문의성 / 기타,기타,,맵수정,베어 서빙로봇
맵수정요칭,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",,베어 서빙로봇
맵재설치요,매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",맵재설치,LG 서빙로봇 판매
맵재설치요망,매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",맵재설치,베어 서비스로봇2 임대형
맵재설치요망,매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",맵재설치,베어 서빙로봇
맵조정,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",맵조정 및 버전업,베어 서빙로봇
맵조정,매장 내 신규 장애물 발생,SW / 자율주행,로봇문제(SW),장애물 제거(환경),방역구간 조정,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
맵조정 및 노드변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",밀포인트변경,LG서빙로봇(POC)
머뭇거리며서빙자리못감재부팅의미없음,고객 조작 미숙,HW / 터치패널,로봇문제(HW),리부팅(HW),양호,LG 서비스로봇2 판매형
멀티 2번로봇 터치스크린 다운,터치패널 불량,HW / 터치패널,로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),긴급복구용 로봇투입 교체완료,베어 서빙로봇
멀티 3대중 1대 naviPC 오류,TX2(HW 센서구동부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),Xavier(SW응용부 보드) 불량복구(HW),lg로봇 임시교체,LG서빙로봇(고객)
멀티 기능 불,기타,SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),양호,LG 서비스로봇2 임대형
멀티 로봇 멈춤 동작불가,공유기 환경 설정오류,와이파이 / 공유기,무선품질문제,공유기 환경 설정 개선(WiFi),로봇 와이파이 미접속 조치,베어 서빙로봇
멀티 로봇 주행시 동선 겹쳐 버벅 거림,충돌,HW / 관성 센서,기타,자연회복(자연회복),양호,LG 서비스로봇2 임대형
멀티 운용오류,비고장,SW / 자율주행,로봇문제(SW),인스톨러 개선(SW),주행설정값조정.안전구간삭제,LG 서빙로봇 판매
멀티 이상점검 요청,"멀티로봇 오류, 줄서기오류 등",SW / 자율주행,로봇문제(SW),멀티로봇/줄서기오류 등 개선(SW),버전 업데이트 완료,베어 서빙로봇
멀티5대 주행에러,문의성,설치 / 로봇 내부 설정,고객환경(변화),자연회복(자연회복),5대 멀티주행에러 일부로봇 재배치오류로 복구후 재배치방법 재교육,베어 서비스로봇2 임대형
멀티기능 및 대기 장소변경 요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),멀티운용개소 등 맵수정,베어 서빙로봇
멀티동작 에러,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"S/W, F/W 업그레이드 적용(설정)",업그레이드 후 멀티 대기 이상동작 수리,베어 서빙로봇
멀티로봇 1대 백화현상,로봇 에러(재부팅 필요),SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),로그분석 요청,베어 서빙로봇
멀티로봇 1대 점검요청,라이다 센서 불량,SW / 자율주행,로봇문제(SW),라이다 불량복구(HW),,LG 서빙로봇
멀티로봇 1대서비스 준비중에서 진행안됨초기화해도 동일현상으로poc교체,TX2(HW 센서구동부 보드) 불량,HW / TX2(HW 센서/구동부 보드),로봇문제(HW),TX2 불량복구(HW),ui보드칩셋교체,LG 서빙로봇 판매
멀티로봇 동선 변경,충돌,SW / 자율주행,로봇문제(SW),인스톨러 개선(SW),맵에디터 수정및 테스트 주행,
멀티로봇 동작이상 방문요청,공유기 불량,HW / 공유기,무선품질문제,공유기 불량복구(HW),공유기 교체후 네트워크 재접속,베어 서빙로봇
멀티로봇 버전상이,Robot Makers 오류,SW / 서비스매니저(서빙/방역 서비스처리),기타,"S/W, F/W 업그레이드 적용(설정)",수동 버전업,LG 서빙로봇
멀티로봇 버전상이,Robot Makers 오류,SW / UI/UX(LCD 화면표기),기타,"S/W, F/W 업그레이드 적용(설정)",수동 버전업,LG 서빙로봇 판매
멀티로봇 불,로봇 에러(재부팅 필요),설치 / 로봇 내부 설정,고객환경(변화),리부팅(HW),원격 재부팅,베어 서빙로봇
멀티로봇 서빙 포인트 이동 불가,로봇 에러(재부팅 필요),SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),리부팅(HW),멀티모드 해제로 재설정,LG서빙로봇(고객)
멀티로봇 안됨,"멀티로봇 오류, 줄서기오류 등",와이파이 / 공유기,무선품질문제,공유기 환경 설정 개선(WiFi),정상,LG 서빙로봇 판매
멀티로봇 이상,비고장,문의성 / 기술상담,고객사용법,자연회복(자연회복),맵 수정,LG 서빙로봇 판매
멀티로봇 이상작동,비고장,와이파이 / 공유기,무선품질문제,자연회복(자연회복),공유기 재설정,베어 서빙로봇
멀티로봇 인식불,공유기 불량,와이파이 / 공유기,무선품질문제,공유기 환경 설정 개선(WiFi),네트워크 변경,LG 서빙로봇 판매
멀티로봇 작동불량,"자율주행 오류(멈춤, 금지구역침범 등)",설치 / 로봇 내부 설정,고객환경(변화),멀티로봇/줄서기오류 등 개선(SW),멀티로봇 line exclude 조정,LG 서빙로봇
멀티로봇 잘 안됨,"멀티로봇 오류, 줄서기오류 등",SW / 자율주행,로봇문제(SW),멀티로봇/줄서기오류 등 개선(SW),,베어 서빙로봇
멀티로봇 잘 안됨,"멀티로봇 오류, 줄서기오류 등",SW / 자율주행,로봇문제(SW),멀티로봇/줄서기오류 등 개선(SW),,베어 서빙로봇
멀티로봇 점검요청,공유기 불량,SW / 자율주행,로봇문제(SW),공유기 불량복구(HW),공유기 불량 멀티 오류,베어 서빙로봇
멀티로봇 주행 오류 로봇 오작동,매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),자율주행 로직개선(SW),"바닥민감도,카메라옵션,버전업등",LG 서빙로봇 판매
멀티로봇 주행시 에러발생,충돌,설치 / 맵 설정,고객환경(변화),멀티로봇/줄서기오류 등 개선(SW),멀티로봇 에러발생 맵 수정수리완료,베어 서빙로봇
멀티로봇 줄서기 기능 안됨두대모두서빙대기로 이동됨,공유기 불량,와이파이 / 공유기,무선품질문제,공유기 환경 설정 개선(WiFi),AP 교체,베어 서빙로봇
멀티로봇 줄서기 기능 오류,"맵핑오류, 라이다 틀어짐",설치 / 맵 설정,고객환경(변화),멀티로봇/줄서기오류 등 개선(SW),일방통행 설정,베어 서빙로봇
멀티로봇 줄서기 점검,문의성,설치 / 로봇 내부 설정,고객환경(변화),안내멘트 재설정(설정),줄서기기능 설명,베어 서빙로봇
멀티로봇 중 1대 불량으로긴급복구 요청 익일처리 예정,"자율주행 오류(멈춤, 금지구역침범 등)",HW / 라우터,로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),단말1대 불량 (장애물인식),LG 서빙로봇 판매
멀티로봇 중 1대 와이파이 꺼짐현상,무선품질 불량,SW / UI/UX(LCD 화면표기),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",LG멀티로봇 중 1대 간헐적 와이파이 꺼짐,LG서빙로봇(POC)
멀티로봇 통신오류 주행오류,"자율주행 오류(멈춤, 금지구역침범 등)",HW / 라우터,로봇문제(HW),"S/W, F/W 업그레이드 적용(설정)",로봇 초기화후 재설정,베어 서빙로봇
멀티로봇2대 운행2대중 1대 주행중 멈춤1번 8번 테이블 안착못함,3D 카메라(전면) 불량,HW / 3D 카메라(전면),로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),전방 라이다  이물질제거 수리 외관 크리닝(국물),베어 서빙로봇
멀티로봇서빙대기장소일방통행오류,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),일방통해오류,베어 서빙로봇
멀티로봇일방통행오류,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),일방통해오류,베어 서빙로봇
멀티로봇작동오류,충돌,설치 / 맵 설정,고객환경(변화),맵 보정(설정),맙수정작업,LG 서빙로봇 판매
멀티로봇중 1대 작동불가,부팅오류/반복적인 재부팅,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),로봇교체(HW),부팅불량 교체,베어 서빙로봇
