이슈,원인,조치결과
주행불가,주행불가,방역존 변경
mac 불일치,mac 불일치,단말변경
bs,bs,
방역로봇 무선충전불량 교체,방역로봇 무선충전불량 교체,로봇교체
목적지 미도착,목적지 미도착,맵 설정 변경
로봇이상주행으로 점검요청,로봇이상주행으로 점검요청,제조사 분석의뢰
전원불량,전원불량,
로보케어 스케쥴 방역이 잘사용중이었는데 오전부터 스케쥴 방역 안됨,로보케어 스케쥴 방역이 잘사용중이었는데 오전부터 스케쥴 방역 안됨,SW 다운그레이드
[상품명]방역로봇[신고자/연락처]영업 홍영기 01026873792[문의(고장)내용]LCD화면불량 로봇 교체요청[답변(진단)내용]LCD화면불량 로봇 교체요청[기타],[상품명]방역로봇[신고자/연락처]영업 홍영기 01026873792[문의(고장)내용]LCD화면불량 로봇 교체요청[답변(진단)내용]LCD화면불량 로봇 교체요청[기타],교체
방역도중 가끔 멈춤- 점검요청 함니다.,방역도중 가끔 멈춤- 점검요청 함니다.,정상
방역로봇 POC 상요로봇으로교체,방역로봇 POC 상요로봇으로교체,POC로봇교체
DB정리,DB정리,
점검요청,점검요청,완료
수시 운행 불가,수시 운행 불가,와이파이 리부팅 회복
테이블 26번 서빙 실패,테이블 26번 서빙 실패,정상
로봇 1대  전원 불,로봇 1대  전원 불,정상
오작동 테이블 도착시 틀림,오작동 테이블 도착시 틀림,poi재설정
[상품명]서빙로봇(LG)[신고자/연락처]사장님/01023228738[문의(고장)내용]어제 충전하고 퇴근했는데 로봇 안움직임/로복 OFF/ON해도 마찬가지[답변(진단)내용]충전기는 이상무(충전시 적색불 들어옴)[기타],[상품명]서빙로봇(LG)[신고자/연락처]사장님/01023228738[문의(고장)내용]어제 충전하고 퇴근했는데 로봇 안움직임/로복 OFF/ON해도 마찬가지[답변(진단)내용]충전기는 이상무(충전시 적색불 들어옴)[기타],로봇완전방전 충전방법재안내
오동작,오동작,테이블위치변경
로봇불량,로봇불량,단말불량
[상품명]베어로보틱스[신고자/연락처]김태양/010-9778-6912[문의(고장)내용]현황판 입력할 6자리 인증번호 안내요청[답변(진단)내용][기타],[상품명]베어로보틱스[신고자/연락처]김태양/010-9778-6912[문의(고장)내용]현황판 입력할 6자리 인증번호 안내요청[답변(진단)내용][기타],로보케어앱설치
[상품명]서빙로봇[신고자/연락처]010-3750-8782[문의(고장)내용]바다 타일파손되어 경로 수정[답변(진단)내용][기타],[상품명]서빙로봇[신고자/연락처]010-3750-8782[문의(고장)내용]바다 타일파손되어 경로 수정[답변(진단)내용][기타],충전 어댑터 접불
15일 카운터 재배치로 맵 재설정 요청,15일 카운터 재배치로 맵 재설정 요청,정상
크루즈주행요청,크루즈주행요청,크루즈주행요청
룸 진입시 충돌 위험,룸 진입시 충돌 위험,펌웨어 업그레이드 및 노드 수정
룸 진입시 충돌위험,룸 진입시 충돌위험,펌웨어 업그레이드 및 노드 수정
5월들어서 베터리소모가 조금 빨라 진것 같다고 점검의뢰 하심,5월들어서 베터리소모가 조금 빨라 진것 같다고 점검의뢰 하심,5월달 사용량이 많아짐
wifi변경 및 음원변경,wifi변경 및 음원변경,WiFi 재설정 및 도착 음원변경
[회선/단말특이사항]방역로봇[참고/연락처]유명희/01068478551[불편사항]로봇 이용못한지2주됐다함[진단결과] 빠른 점검요청[기타],[회선/단말특이사항]방역로봇[참고/연락처]유명희/01068478551[불편사항]로봇 이용못한지2주됐다함[진단결과] 빠른 점검요청[기타],
POC 개통 후 고객케어,POC 개통 후 고객케어,로봇사용법 안내
로봇 교체,로봇 교체,완료
SW버젼업 및 클린징,SW버젼업 및 클린징,버젼업 및 클린징/글씨폰트
무선충전 불량,무선충전 불량,무선충전기 위치 이동 맵 수정
부인과 주사실 추가방역구역 설치요,부인과 주사실 추가방역구역 설치요,맵 재설치
목적지 추가,목적지 추가,목적지 추가 및 조정
전일 야간 방역 및 방전,전일 야간 방역 및 방전,야간에 움직임 이슈
로봇 작동불가 방문요청,로봇 작동불가 방문요청,WiFi 재설정
로봇교체,로봇교체,로봇교체
로봇 충전않됨,로봇 충전않됨,전원차단기 off로 방전 => on 충전 정상
부팅안됨,부팅안됨,초기화 오류 발생 초기화 10회 이성 실시 복구됨
[상품명]베어로보틱스[신고자/연락처]임신용/01026392279[문의(고장)내용]로봇이 한 달에 2~3번 계속고장/영업에 지장[답변(진단)]영업대표에게도 연락안내[기타],[상품명]베어로보틱스[신고자/연락처]임신용/01026392279[문의(고장)내용]로봇이 한 달에 2~3번 계속고장/영업에 지장[답변(진단)]영업대표에게도 연락안내[기타],
주행불량,주행불량,
서빙불가,서빙불가,이용정지 체납
POI 금지구역내설치,POI 금지구역내설치,양호
테이블 위치변경,테이블 위치변경,테이블이동
룸 증설로 추가서빙지역 작업요청,룸 증설로 추가서빙지역 작업요청,매장 증설로 맵 추가작업
목적지 미도착,목적지 미도착,이상없음
"이용정지부활 방문점검요청(서빙2, 방역2)","이용정지부활 방문점검요청(서빙2, 방역2)",네트워크 재설정 및 로봇재배치
멀티로봇 불,멀티로봇 불,원격 재부팅
로봇이 문밖에 나감,로봇이 문밖에 나감,사용미숙
기존 3층 3대2층 3대 운영중인데2층 4대 3층 2대로 긴급,기존 3층 3대2층 3대 운영중인데2층 4대 3층 2대로 긴급,재배치완료
매장내 퇴식대기 위치 조정,매장내 퇴식대기 위치 조정,퇴식대기 장소 추가
동작 안함,동작 안함,정상
위치오류,위치오류,위치잃어버림
로봇에러,로봇에러,위치잃어버림
[상품명] 서빙로봇[신고자/연락처] 김알찬 010 5701 0220[문의(고장)내용]로봇이동불가 / 위치 못찾음[답변(진단)내용] 수동위치조절등 조치후에도 안된다함[기타],[상품명] 서빙로봇[신고자/연락처] 김알찬 010 5701 0220[문의(고장)내용]로봇이동불가 / 위치 못찾음[답변(진단)내용] 수동위치조절등 조치후에도 안된다함[기타],위치 재설정 등 사용오류
로봇이 제멋대로 돌아다닌다함,로봇이 제멋대로 돌아다닌다함,로봇재부팅후양호
로봇이 전원도 안들어오고 안켜져요,로봇이 전원도 안들어오고 안켜져요,맵수정
"[상품명]베어서빙로봇[신고자/연락처]김혜경 054-974-9799[문의(고장)내용]지난 수요일 업데이트후 로봇이 원하는 자리로 돌아오지않음. 서빙후 충전장소로 돌아와야 하나, 서빙자리로 돌아옴. 기존에는 충전장소에서 서빙후 충전장소로 돌아왔었음[답변(진단)내용]서빙후 복귀장소 오류 문의[기타]","[상품명]베어서빙로봇[신고자/연락처]김혜경 054-974-9799[문의(고장)내용]지난 수요일 업데이트후 로봇이 원하는 자리로 돌아오지않음. 서빙후 충전장소로 돌아와야 하나, 서빙자리로 돌아옴. 기존에는 충전장소에서 서빙후 충전장소로 돌아왔었음[답변(진단)내용]서빙후 복귀장소 오류 문의[기타]",로봇환경설정
AI방역로봇 스케쥴 방역 점검요청,AI방역로봇 스케쥴 방역 점검요청,kt agent 재설치 및 스케줄 방역 테스트
대기장소 및 마커위치변경요망,대기장소 및 마커위치변경요망,충전장소변경
라이다 틀어짐 로봇관제,라이다 틀어짐 로봇관제,로봇 구동부 이물질제거
자리변경 맵수정요,자리변경 맵수정요,폐문중
주행테스트 충전불,주행테스트 충전불,"충전불, poi위치조정"
ㅋㄴㄴ,ㅋㄴㄴ,현장출동 주행테스트
로봇 poi위치변경,로봇 poi위치변경,장애물감지
간헐적 부팅불가,간헐적 부팅불가,SW FW 업그레이드
멀티로봇 서빙 포인트 이동 불가,멀티로봇 서빙 포인트 이동 불가,멀티모드 해제로 재설정
로봇 미사용 관련 점검R Brain,로봇 미사용 관련 점검R Brain,LTE 미접속으로 미사용 발생(LTE 재접속 및 운영자 조치요령 설명)
방역구간 테스트,방역구간 테스트,충전오류
방역구간 테스트,방역구간 테스트,장애물감지
방역오류,방역오류,네트웍오류
부팅불,부팅불,부팅오류
[상품명]서빙로봇[신고자/연락처]노기상/010-2340-7708[문의(고장)내용]서비스준비중인상태로 움직이질않음[답변(진단)내용][기타],[상품명]서빙로봇[신고자/연락처]노기상/010-2340-7708[문의(고장)내용]서비스준비중인상태로 움직이질않음[답변(진단)내용][기타],
[상품명]LG서빙로봇[신고자/연락처]010-7425-8385[문의(고장)내용]카메라 준비중입니니다 표시[답변(진단)내용]로봇리셋해도 동일[기타],[상품명]LG서빙로봇[신고자/연락처]010-7425-8385[문의(고장)내용]카메라 준비중입니니다 표시[답변(진단)내용]로봇리셋해도 동일[기타],
주행불량,주행불량,
로봇불량교체,로봇불량교체,로봇불량교체
[상품명]서빙로봇[신고자/연락처]금혜정 010-9254-4778[문의(고장)내용] 설정멘트변경요청[답변(진단)내용]방문 점검 요청 [기타],[상품명]서빙로봇[신고자/연락처]금혜정 010-9254-4778[문의(고장)내용] 설정멘트변경요청[답변(진단)내용]방문 점검 요청 [기타],특이사항은 없습니다
[상품명] ai 서빙로봇[신고자/연락처] 싱싱포차 / 010-4683-3257[문의(고장)내용] 로봇 작동 멈춤 / 재부팅해도 동일증상 / 야간 긴급 방문 점검 요청[답변(진단)내용][기타] 내부 010-3296-5877,[상품명] ai 서빙로봇[신고자/연락처] 싱싱포차 / 010-4683-3257[문의(고장)내용] 로봇 작동 멈춤 / 재부팅해도 동일증상 / 야간 긴급 방문 점검 요청[답변(진단)내용][기타] 내부 010-3296-5877,특이사항은 없습니다
로봇방역구간 테스트,로봇방역구간 테스트,방역구간 오류
로봇교체,로봇교체,무선충전기 교체
단방향에서양방향 변경,단방향에서양방향 변경,경로 양방향에서 단방향 수정
로봇h/w 점검요청,로봇h/w 점검요청,교체
음식 배달시 안서고 지나침,음식 배달시 안서고 지나침,로봇운행에러
2층 4대 운행에러,2층 4대 운행에러,운명 상태양호
관제세터 접수초기화오류 발생현장출동 전원 리부팅 회복,관제세터 접수초기화오류 발생현장출동 전원 리부팅 회복,전원 리부팅 회복
로봇 4번룸 앞에서 멈춤현상,로봇 4번룸 앞에서 멈춤현상,멀티로봇 교차로 급정거 현상 완화 작업
swap교체,swap교체,
로봇위치잃어버림,로봇위치잃어버림,고정장애물변경
[상품명] 베어로보틱스 서빙로봇_판매형[신고자/연락처] 이성수/010-2226-6996[문의(고장)내용] 비싼 로봇이 하루종일 길을 못찾고 있음/리부팅해도 똑같은 증상[답변(진단)내용] 비즈지원팀 접수[기타] 휴일인 관계로 화요일 출동 양해 구함-매장 오픈하는 오전 10시 출동 요청,[상품명] 베어로보틱스 서빙로봇_판매형[신고자/연락처] 이성수/010-2226-6996[문의(고장)내용] 비싼 로봇이 하루종일 길을 못찾고 있음/리부팅해도 똑같은 증상[답변(진단)내용] 비즈지원팀 접수[기타] 휴일인 관계로 화요일 출동 양해 구함-매장 오픈하는 오전 10시 출동 요청,재배치 문의
[상품명][신고자/연락처]이광준/010-3001-5454[문의(고장)내용]로봇이동 안한다고함[답변(진단)내용]수시장애 발생 했다고 교체요청하심[기타],[상품명][신고자/연락처]이광준/010-3001-5454[문의(고장)내용]로봇이동 안한다고함[답변(진단)내용]수시장애 발생 했다고 교체요청하심[기타],현대로봇 이상이 있다고 판단됩니다
로봇 이상동작 및 목적지 변경요청,로봇 이상동작 및 목적지 변경요청,목적지 변경 3개소
[상품명]서빙로봇[신고자/연락처]고객/010-3489-8007[문의(고장)내용]로봇작동불가[답변(진단)내용]어제설치했는데 안된다고 현장출동 요청하심[기타],[상품명]서빙로봇[신고자/연락처]고객/010-3489-8007[문의(고장)내용]로봇작동불가[답변(진단)내용]어제설치했는데 안된다고 현장출동 요청하심[기타],양호
방역로봇 안됨,방역로봇 안됨,프라즈마 관련 버전업
멀티 3대중 1대 naviPC 오류,멀티 3대중 1대 naviPC 오류,lg로봇 임시교체
